x.number,func1.number,func2.number,func3.number
141,39.8,47.8,50.8
142,38.1,48.7,53
143,37.1,49.7,61
144,45.5,53.4,68.8
145,50.6,54.1,69.4
146,42.7,55.9,59.3
147,42.6,51.7,47.2
148,36.9,47.7,47.7
149,40.9,45.4,61.9
150,45.9,47,67.2
151,40.7,49.8,70.1
152,41.3,48.9,62.1
153,36.8,48.1,72.7
154,47.6,50.7,59
155,44.2,55,51.8
156,38.5,48.8,55
157,32.9,48.4,61.8
158,43.3,49.9,67.1
159,51.2,49.2,72
160,47.8,51.7,46.4
161,37.2,49.3,46.7
162,42.9,50,56.9
163,48.8,48.6,61.9
164,52.6,53.9,68.8
165,60.5,55.2,71.9
166,47.2,55.9,72
167,44.7,54.6,72.5
168,48.2,48.2,71.7
169,48.2,47.1,71.1
170,53.1,45.8,73
171,57.8,49.7,63.8
172,57.5,51.4,60
173,57.3,51.4,62.3
174,61.7,48.4,61.1
175,55.8,49,62
176,48.4,46.4,64.6
177,49.8,49.7,66
178,39.6,54.1,65.8
179,49.7,54.6,69.2
180,56.8,52.3,69.5
181,46.5,54.5,73.5
182,42.2,56.2,73.9
183,45.3,51.1,75.3
184,48.1,50.5,75.4
185,51.2,52.2,77.3
186,61,50.6,67
187,50.7,47.9,71.1
188,48,47.4,70.4
189,51.1,49.4,73.6
190,55.7,50,71.1
191,58.3,51.3,70
192,55,53.8,69
193,49,52.9,69.2
194,51.7,53.9,74.5
195,53.1,50.2,73.4
196,55.2,50.9,76
197,62.3,51.5,74.5
198,62.9,51.9,63.6
199,69.3,53.2,67.3
200,59,53,65.1
201,54.1,55.1,67.9
202,56.5,55.8,68.9
203,58.2,58,65.1
204,52.4,52.8,65.4
205,51.6,55.1,70.1
206,49.3,57.9,67
207,52.5,57.5,75.4
208,50.5,55.3,77.5
209,51.9,53.5,77
210,47.4,54.7,77.7
211,54.1,54,77.7
212,51.9,53.4,77.7
213,57.4,52.7,77
214,53.7,50.7,77.9
215,53.1,52.6,79.1
216,57.2,53.4,80.1
217,57,53.1,82.1
218,56.6,56.5,79
219,54.6,55.3,79.8
220,57.9,52,70
221,59.2,52.4,69.8
222,61.1,53.4,71.3
223,59.7,53.1,69.4
224,64.1,49.9,72
225,65.3,52,72.4
226,64.2,56,72.5
227,62,53,67.6
228,63.8,51,69
229,64.5,51.4,72.7
230,61,52.2,73.7
231,62.6,52.4,77.5
232,66.2,54.5,75.8
233,62.7,52.8,76.9
234,63.7,53.9,78.8
235,66.4,56.5,77.7
236,64.5,54.7,80.6
237,65.4,52.5,81.4
238,69.4,52.1,82.3
239,71.9,52.2,80.3
240,74.4,52.9,80.3
241,75.9,52.1,82.2
242,72.9,52.1,81.9
243,72.5,53.3,82.4
244,67.2,54.8,77.9
245,68.3,54,81.1
246,67.7,52.3,82.2
247,61.9,55.3,81.2
248,58.3,53.5,83
249,61.7,54.1,83.2
250,66.7,53.9,82.1
251,68.7,54.4,77.5
252,72.2,55,77.9
253,72.6,60,82.9
254,69.2,57.2,86.8
255,66.9,55.1,85.3
256,66.7,53.3,76.9
257,67.7,53.4,84.5
258,68.5,54.6,84.4
259,67.5,57,83.8
260,64.2,55.6,82.5
261,61.7,52.5,82.9
262,66.4,53.9,82.5
263,77.9,55.3,81.3
264,88.3,53.3,80.8
265,82.2,54.1,81.7
266,77,55.2,83.9
267,75.4,55.8,85.5
268,70.9,56.8,87.2
269,65.9,57.5,88
270,73.5,57.7,89.6
271,77.4,56.6,86.7
272,79.6,56.4,85.3
273,84.2,58.4,81.7
274,81.8,58.8,78.5
275,82.5,56.4,83.1
276,80.2,56.5,83.1
277,77.8,55.8,84.5
278,86.1,54.8,84.6
279,79.9,54.9,84.2
280,83.5,54.7,86.7
281,81.5,52.8,84.3
282,77.8,53.7,83.7
283,76.1,53.1,77.1
284,76.3,52.7,77.4
285,75.8,52,80.6
286,77.2,53.4,81.4
287,79.3,54,80.2
288,78.9,54,81.8
289,79.6,54.5,77.3
290,83.3,56.7,80.8
291,84.3,57.5,81.6
292,75.1,57.1,80.9
293,68.4,58.1,83.9
294,68.4,57.6,85.6
295,72.2,56,83.6
296,75.6,56.6,84
297,82.6,57.8,83
298,78.4,57.5,84.8
299,77,56.4,84.4
300,79.4,55.3,84.3
301,77.4,55,83.9
302,72.5,55.6,85
303,72.9,55.6,84.9
304,73.6,55.9,86.3
305,75,55.4,86.5
306,77.7,54.4,85.8
307,79.7,53.7,85.3
308,79.6,54.1,86
309,81.5,57.8,84.2
310,80,58.2,81.9
311,75.7,58,86.5
312,77.8,57,86.1
313,78.6,55,86.8
314,77.8,54.8,88
315,78.5,53,85.1
316,78.8,52.5,87.4
317,78.6,53.3,88
318,76.8,53.9,88
319,76.7,56.2,87.2
320,75.9,57.1,86.1
321,77.6,55.3,86.8
322,72.6,56.2,84.9
323,70.4,54.3,76.8
324,71.8,53.1,80.6
325,73.6,53.4,80
326,74.7,54.5,78.2
327,74.6,55.7,79.1
328,76,54.8,81.9
329,76.2,53.8,84.7
330,73.4,56.5,83.5
331,74.6,58.3,82.1
332,79.4,58.7,84
333,74.7,57.5,85.7
334,73.5,55.9,87.2
335,77.9,55.4,82.9
336,80.7,55.7,84.8
337,75.1,53.1,83.9
338,73.5,53.5,85.5
339,73.5,52.5,86.4
340,77.7,54.5,85.8
341,74.2,56.3,85.4
342,76,56.4,85.3
343,77.1,56.5,81.9
344,69.7,56.4,74.8
345,67.8,55.4,71.6
346,64,56.2,75.9
347,68.1,55.7,82.1
348,69.3,54.3,80.5
349,70,55.2,70
350,69.3,54.3,71.2
351,66.3,52.9,70.3
352,67,54.8,72.1
353,72.8,54.8,73.7
354,67.2,56.8,72.7
355,62.1,55.4,71.7
356,64,55.8,72.9
357,65.5,55.9,73.1
358,65.7,52.8,75.6
359,60.4,54.5,78.3
360,63.2,53.3,78.3
361,68.5,53.6,79.6
362,69.2,52.1,76.4
363,68.7,52.6,77.2
364,62.5,53.9,75.2
365,62.3,55.1,71.9
366,847,333,320
367,621,368,903
368,403,982,843
369,848,23,478
370,412,283,498
371,579,139,788
372,124,521,960
373,859,934,856
374,619,9,399
375,233,172,777
376,676,877,428
377,587,292,916
378,90,351,421
379,170,886,116
380,990,781,406
381,381,759,543
382,544,411,641
383,867,529,876
384,801,818,463
385,76,634,818
386,206,133,636
387,592,457,677
388,895,975,84
389,713,139,511
390,477,280,163
391,882,606,722
392,438,627,560
393,751,862,347
394,22,651,870
395,646,95,839
396,643,324,210
397,25,899,473
398,273,149,415
399,341,186,211
400,764,265,381
401,176,135,94
402,915,483,400
403,544,212,859
404,625,721,821
405,645,363,703
406,899,58,977
407,133,960,977
408,586,455,490
409,626,296,665
410,22,64,792
411,338,935,462
412,750,59,108
413,259,198,666
414,100,251,692
415,131,88,823
416,101,622,389
417,118,403,276
418,459,375,902
419,355,181,613
420,218,668,86
421,574,172,766
422,334,758,617
423,958,854,664
424,540,844,655
425,360,281,145
426,421,376,50
427,49,54,218
428,631,162,60
429,90,770,600
430,611,717,726
431,385,699,800
432,127,996,304
433,238,106,703
434,697,319,250
435,640,53,174
436,542,350,293
437,129,911,673
438,27,280,156
439,444,909,606
440,427,780,512
441,624,968,421
442,350,981,528
443,658,755,620
444,523,273,406
445,557,839,987
446,962,257,465
447,696,22,602
448,906,223,505
449,668,946,253
450,842,454,923
451,37,141,361
452,410,124,332
453,41,783,254
454,462,766,388
455,748,532,906
456,819,970,79
457,820,164,706
458,939,140,905
459,429,556,237
460,927,995,310
461,582,775,552
462,344,381,581
463,457,545,122
464,380,656,579
465,769,842,856
466,531,860,820
467,250,368,697
468,7,652,285
469,97,565,93
470,643,847,218
471,839,5,694
472,830,293,828
473,834,819,445
474,295,881,495
475,551,569,568
476,779,452,303
477,5,872,293
478,160,734,720
479,744,394,982
480,723,492,524
481,367,774,897
482,263,384,814
483,143,286,124
484,214,715,546
485,1,326,860
486,560,825,939
487,747,613,143
488,105,962,375
489,583,969,875
490,537,299,586
491,247,546,945
492,282,624,255
493,862,320,60
494,18,80,676
495,685,181,7
496,671,126,958
497,556,892,903
498,733,922,822
499,92,770,987
500,193,337,148
501,928,366,106
502,663,416,6
503,480,810,89
504,113,313,876
505,856,401,560
506,752,396,992
507,595,880,850
508,666,979,816
509,714,220,580
510,631,541,625
511,490,691,324
512,242,554,408
513,271,161,844
514,276,117,21
515,919,459,409
516,636,892,823
517,758,682,110
518,896,143,901
519,559,115,190
520,873,474,124
521,389,202,224
522,215,946,817
523,80,255,464
524,719,270,912
525,590,133,363
526,813,590,667
527,322,528,216
528,867,208,842
529,801,16,206
530,686,973,384
531,446,630,523
532,170,710,195
533,821,772,195
534,898,613,673
535,420,682,613
536,726,492,713
537,484,771,95
538,53,401,200
539,970,419,111
540,772,480,279
541,176,648,752
542,466,560,710
543,602,463,266
544,208,480,526
545,143,45,686
546,525,978,688
547,20,642,818
548,233,216,37
549,485,144,368
550,738,409,705
551,234,407,418
552,481,638,861
553,451,128,338
554,476,33,27
555,853,787,531
556,406,585,17
557,153,276,238
558,376,319,564
559,580,389,512
560,99,73,50
561,529,408,682
562,53,872,180
563,385,787,339
564,972,676,989
565,225,706,513
566,343,254,204
567,593,805,517
568,8,221,28
569,529,151,806
570,450,57,983
571,619,996,752
572,662,132,46
573,547,969,795
574,635,5,271
575,168,452,938
576,101,305,520
577,922,754,35
578,40,767,861
579,965,484,565
580,558,793,197
581,51,359,708
582,236,317,281
583,135,66,712
584,762,585,744
585,231,351,377
586,241,451,326
587,210,847,133
588,882,168,257
589,823,892,654
590,987,769,795
591,695,559,215
592,925,695,418
593,801,700,925
594,266,705,568
595,464,522,136
596,564,477,969
597,532,715,406
598,363,319,927
599,663,485,151
600,452,492,346
601,509,659,233
602,561,464,629
603,900,77,347
604,578,285,144
605,741,339,835
606,532,613,77
607,409,704,361
608,754,895,998
609,221,50,921
610,800,508,841
611,148,159,589
612,968,150,665
613,185,847,48
614,64,934,905
615,731,106,431
616,192,885,91
617,354,846,945
618,958,694,616
619,786,305,924
620,528,970,595
621,87,348,726
622,497,466,596
623,982,434,750
624,533,705,357
625,523,50,842
626,68,110,361
627,232,797,269
628,130,17,859
629,844,948,634
630,807,29,251
631,759,411,1
632,655,207,194
633,407,492,774
634,814,628,845
635,103,675,741
636,337,781,440
637,35,695,568
638,282,264,226
639,536,867,61
640,33,371,548
641,803,142,496
642,51,503,388
643,148,567,167
644,796,156,388
645,877,559,884
646,865,891,985
647,28,131,853
648,678,106,51
649,720,991,495
650,190,833,77
651,481,523,94
652,915,641,273
653,947,652,327
654,799,530,762
655,999,341,10
656,278,670,94
657,952,714,68
658,590,188,986
659,276,82,417
660,690,766,939
661,602,822,587
662,895,479,417
663,527,375,192
664,65,420,976
665,74,297,261
666,994,646,222
667,406,606,954
668,428,104,952
669,580,351,474
670,321,345,303
671,346,695,775
672,446,413,422
673,755,880,731
674,279,72,837
675,147,950,616
676,416,736,63
677,288,833,68
678,574,904,805
679,238,282,70
680,138,71,970
681,283,835,296
682,27,244,129
683,735,63,177
684,447,351,403
685,396,540,284
686,230,532,825
687,474,880,527
688,491,465,484
689,428,876,273
690,161,377,211
691,14,427,962
692,251,508,85
693,271,330,141
694,962,691,434
695,454,961,86
696,1000,762,988
697,509,738,977
698,636,710,293
699,960,822,999
700,598,400,635
701,635,696,719
702,195,872,29
703,377,997,60
704,239,129,174
705,607,232,865
706,65,766,173
707,536,698,747
708,202,114,500
709,485,649,948
710,724,768,25
711,363,213,910
712,75,902,25
713,351,880,36
714,372,712,363
715,95,916,779
716,556,382,442
717,882,996,277
718,258,479,490
719,605,909,235
720,846,841,122
721,412,348,248
722,891,401,567
723,236,318,429
724,806,27,476
725,401,610,693
726,483,700,626
727,896,174,23
728,212,114,626
729,51,849,875
730,56,116,927
731,128,365,506
732,763,277,29
733,302,881,382
734,454,602,906
735,905,748,722
736,115,484,930
737,369,988,549
738,78,786,953
739,202,429,413
740,785,104,310
741,756,117,105
742,609,894,496
743,168,312,829
744,132,575,337
745,798,212,981
746,810,776,255
747,25,381,221
748,598,648,437
749,95,269,959
750,635,972,103
751,282,60,119
752,368,158,470
753,930,376,342
754,820,911,463
755,119,651,427
756,798,271,933
757,620,46,64
758,524,320,986
759,956,790,458
760,534,757,288
761,527,422,377
762,226,892,117
763,675,210,652
764,989,826,882
765,275,755,687
766,666,38,934
767,694,9,744
768,389,569,775
769,834,821,834
770,719,491,396
771,583,749,940
772,28,964,177
773,910,309,508
774,742,350,581
775,757,254,708
776,373,653,265
777,627,117,946
778,258,209,772
779,522,147,476
780,667,913,38
781,508,229,654
782,48,433,737
783,127,24,917
784,243,594,994
785,560,197,427
786,818,575,254
787,232,608,384
788,811,483,698
789,236,622,284
790,4,666,459
791,497,299,205
792,779,688,472
793,630,580,449
794,397,345,338
795,517,856,32
796,962,831,272
797,790,185,8
798,839,71,575
799,362,140,514
800,320,249,680
801,9,103,518
802,65,249,609
803,819,956,528
804,871,380,508
805,138,774,247
806,618,149,868
807,354,323,276
808,174,615,468
809,361,390,478
810,452,495,937
811,692,681,822
812,633,180,456
813,359,748,146
814,573,784,37
815,612,209,718
816,183,111,390
817,759,234,324
818,145,794,947
819,798,173,675
820,585,909,789
821,760,871,786
822,105,812,339
823,247,326,872
824,694,495,71
825,135,464,286
826,429,317,596
827,402,580,903
828,391,569,772
829,572,296,758
830,991,347,605
831,4,606,960
832,902,264,777
833,813,12,985
834,73,340,151
835,231,754,575
836,923,15,543
837,606,559,775
838,664,501,976
839,502,548,189
840,59,75,877
841,85,91,31
842,374,534,987
843,805,478,921
844,732,694,797
845,938,228,68
846,675,947,180
847,34,383,402
848,134,569,361
849,985,999,384
850,249,694,627
851,100,415,511
852,817,587,946
853,238,123,759
854,165,734,837
855,713,872,359
856,851,815,617
857,461,992,564
858,670,144,27
859,982,752,953
860,758,667,872
861,198,857,675
862,511,27,120
863,701,895,424
864,871,319,62
865,623,384,930
866,125,963,251
867,174,656,988
868,217,22,429
869,201,656,661
870,375,750,54
871,852,470,146
872,831,344,142
873,878,456,45
874,341,711,340
875,639,122,144
876,73,973,572
877,823,32,284
878,667,849,34
879,841,702,26
880,497,293,160
881,511,835,145
882,523,138,891
883,2,74,919
884,328,362,971
885,137,558,998
886,922,715,230
887,790,213,315
888,583,533,943
889,922,90,779
890,11,182,992
891,821,852,710
892,513,544,744
893,267,850,88
894,186,683,594
895,346,724,636
896,762,461,77
897,716,749,497
898,426,866,128
899,661,540,969
900,514,642,184
901,719,641,908
902,660,311,562
903,309,673,428
904,531,958,263
905,40,586,281
906,53,893,543
907,505,53,363
908,455,707,510
909,282,771,969
910,137,725,804
911,595,683,164
912,102,452,943
913,312,364,650
914,520,22,171
915,183,873,936
916,531,50,992
917,722,563,456
918,561,9,486
919,617,431,375
920,406,268,820
921,858,291,189
922,962,614,960
923,974,312,700
924,328,870,903
925,609,567,458
926,614,182,427
927,337,28,765
928,851,704,58
929,383,973,388
930,315,369,658
931,256,88,408
932,774,194,314
933,617,532,310
934,689,594,19
935,198,31,117
936,744,710,118
937,875,95,921
938,165,226,106
939,736,699,950
940,992,210,924
941,187,149,964
942,489,135,669
943,548,99,112
944,966,994,93
945,837,160,171
946,953,301,713
947,706,860,929
948,893,166,583
949,129,495,285
950,384,428,788
951,578,133,483
952,632,608,895
953,31,72,860
954,498,548,711
955,739,723,867
956,463,85,641
957,148,130,332
958,353,649,539
959,122,40,531
960,891,870,985
961,572,491,652
962,561,760,280
963,399,927,98
964,103,917,12
965,278,880,928
966,981,291,122
967,708,411,749
968,528,351,183
969,948,730,644
970,565,175,255
971,737,297,566
972,211,838,229
973,998,690,496
974,866,21,530
975,537,977,33
976,996,765,951
977,907,258,7
978,949,564,2
979,241,687,774
980,400,425,503
981,338,539,745
982,753,34,319
983,943,459,272
984,516,76,330
985,437,202,312
986,217,131,823
987,250,866,972
988,769,674,103
989,724,882,948
990,205,164,332
991,241,857,492
992,999,862,851
993,577,246,660
994,501,106,421
995,47,469,529
996,354,230,428
997,826,963,7
998,737,315,400
999,124,726,258
1000,916,183,400
1001,423,678,261
1002,775,734,973
1003,286,946,978
1004,133,810,766
1005,879,330,856
1006,323,553,550
1007,348,666,191
1008,447,447,794
1009,950,481,85
1010,608,198,154
1011,728,752,745
1012,135,168,75
1013,341,536,604
1014,534,511,601
1015,434,370,850
1016,547,504,947
1017,238,318,347
1018,62,592,341
1019,979,773,275
1020,992,240,23
1021,887,106,347
1022,459,648,419
1023,295,741,535
1024,319,216,921
1025,162,384,999
1026,290,707,466
1027,59,107,634
1028,565,915,488
1029,351,182,940
1030,67,214,818
1031,935,500,159
1032,671,340,377
1033,513,951,71
1034,867,281,278
1035,742,984,320
1036,11,875,558
1037,382,872,630
1038,470,512,982
1039,727,410,269
1040,809,462,939
1041,656,406,263
1042,337,494,124
1043,58,83,809
1044,252,348,771
1045,154,485,157
1046,115,579,936
1047,660,321,389
1048,493,5,810
1049,149,998,767
1050,642,842,375
1051,933,9,598
1052,909,290,378
1053,888,888,269
1054,731,636,844
1055,894,155,255
1056,780,707,559
1057,217,499,754
1058,750,64,69
1059,61,614,329
1060,733,34,32
1061,783,686,377
1062,22,141,877
1063,626,473,436
1064,862,701,53
1065,807,704,44
1066,249,699,938
1067,613,207,744
1068,183,554,679
1069,272,6,712
1070,290,841,966
1071,336,168,808
1072,87,122,157
1073,551,883,297
1074,997,872,676
1075,636,394,852
1076,551,92,422
1077,961,539,497
1078,560,600,258
1079,125,628,243
1080,677,894,421
1081,784,41,89
1082,640,953,290
1083,403,519,453
1084,988,972,780
1085,463,808,8
1086,276,131,830
1087,778,580,386
1088,488,655,811
1089,536,258,979
1090,591,403,744
1091,449,803,797
1092,888,633,95
1093,965,192,804
1094,186,68,436
1095,468,534,750
1096,998,4,955
1097,716,432,872
1098,351,280,666
1099,192,337,280
1100,381,518,137
1101,773,424,336
1102,88,890,369
1103,569,613,130
1104,788,131,813
1105,305,457,888
1106,324,316,724
1107,952,834,30
1108,758,655,919
1109,503,309,222
1110,790,452,823
1111,588,780,559
1112,240,203,324
1113,227,514,410
1114,339,77,774
1115,349,538,814
1116,968,365,863
1117,325,548,375
1118,138,745,393
1119,285,51,538
1120,470,327,67
1121,903,611,720
1122,381,369,995
1123,209,92,903
1124,443,175,543
1125,974,118,945
1126,343,630,208
1127,611,277,305
1128,110,689,981
1129,499,738,425
1130,759,519,54
1131,707,333,802
1132,746,36,597
1133,176,29,1000
1134,128,901,858
1135,437,386,118
1136,569,850,602
1137,85,890,851
1138,84,746,371
1139,221,750,862
1140,346,514,826
1141,218,272,341
1142,652,977,440
1143,4,244,297
1144,612,416,998
1145,838,467,539
1146,917,213,420
1147,906,262,993
1148,435,832,52
1149,640,746,816
1150,679,718,496
1151,812,866,454
1152,84,186,592
1153,747,460,802
1154,513,333,632
1155,897,85,389
1156,329,45,657
1157,218,883,453
1158,145,462,920
1159,678,100,647
1160,36,841,814
1161,174,950,578
1162,957,277,729
1163,444,666,720
1164,448,84,278
1165,849,744,499
1166,701,914,917
1167,524,493,940
1168,183,547,837
1169,135,45,888
1170,569,253,122
1171,137,362,482
1172,478,652,535
1173,659,454,687
1174,209,301,810
1175,550,523,540
1176,473,935,380
1177,780,949,28
1178,565,182,838
1179,836,997,805
1180,647,579,935
1181,870,985,13
1182,589,320,942
1183,928,614,658
1184,822,219,280
1185,26,665,66
1186,258,503,194
1187,512,229,870
1188,905,908,407
1189,298,749,227
1190,947,481,204
1191,213,462,503
1192,683,748,127
1193,917,331,741
1194,751,752,620
1195,522,834,588
1196,401,642,144
1197,26,520,546
1198,103,359,128
1199,601,987,814
1200,524,241,47
1201,51,685,751
1202,925,982,810
1203,301,541,307
1204,810,858,76
1205,960,743,872
1206,640,217,17
1207,378,866,141
1208,166,596,697
1209,551,547,651
1210,86,727,947
1211,467,606,389
1212,528,674,953
1213,791,235,369
1214,433,178,223
1215,459,231,330
1216,945,409,628
1217,520,317,386
1218,109,814,787
1219,553,136,449
1220,522,25,372
1221,807,959,246
1222,361,78,796
1223,276,299,680
1224,53,530,545
1225,493,898,341
1226,222,501,155
1227,210,82,463
1228,779,488,353
1229,39,244,864
1230,185,626,605
1231,363,730,89
1232,746,246,21
1233,972,891,756
1234,479,32,95
1235,618,226,453
1236,721,403,572
1237,179,229,995
1238,558,462,548
1239,707,398,373
1240,209,176,296
1241,717,414,136
1242,72,91,460
1243,923,845,372
1244,716,414,744
1245,807,65,718
1246,5,127,845
1247,331,825,317
1248,328,100,295
1249,390,717,786
1250,23,716,636
1251,647,583,687
1252,266,570,13
1253,34,874,267
1254,14,775,125
1255,975,322,215
1256,579,820,962
1257,257,682,625
1258,111,447,780
1259,41,384,314
1260,601,475,856
1261,136,967,721
1262,433,619,899
1263,810,713,545
1264,160,406,954
1265,921,910,187
1266,352,448,615
1267,242,757,469
1268,216,643,631
1269,997,858,456
1270,221,862,315
1271,546,102,732
1272,894,417,800
1273,948,465,750
1274,54,550,500
1275,497,780,733
1276,564,408,897
1277,246,375,588
1278,426,474,461
1279,193,729,96
1280,265,750,926
1281,951,295,375
1282,537,345,966
1283,781,119,934
1284,330,887,898
1285,795,65,784
1286,562,306,140
1287,434,37,64
1288,252,660,526
1289,691,273,5
1290,158,125,690
1291,944,816,894
1292,843,557,781
1293,806,767,843
1294,133,757,628
1295,343,352,673
1296,492,946,394
1297,862,653,981
1298,159,434,286
1299,955,271,414
1300,309,659,258
1301,775,728,498
1302,324,352,834
1303,176,244,371
1304,811,646,514
1305,865,316,783
1306,263,844,644
1307,679,364,236
1308,322,874,443
1309,653,458,332
1310,61,604,143
1311,263,570,107
1312,688,413,108
1313,496,932,108
1314,528,50,872
1315,798,231,542
1316,934,24,610
1317,477,113,920
1318,514,296,45
1319,311,869,860
1320,861,742,191
1321,648,510,609
1322,106,313,363
1323,980,993,327
1324,355,149,300
1325,391,729,381
1326,749,193,100
1327,52,833,278
1328,753,214,433
1329,544,957,16
1330,881,608,155
1331,897,507,961
1332,412,59,940
1333,39,151,741
1334,601,368,529
1335,69,254,78
1336,9,707,983
1337,641,945,76
1338,283,1000,454
1339,605,353,816
1340,145,178,504
1341,736,926,439
1342,962,735,166
1343,872,538,351
1344,10,828,313
1345,425,315,6
1346,446,911,749
1347,666,659,364
1348,686,262,102
1349,989,902,572
1350,708,595,979
1351,280,343,683
1352,967,323,26
1353,126,210,9
1354,463,885,775
1355,240,836,178
1356,478,991,539
1357,535,864,35
1358,990,840,277
1359,460,469,510
1360,520,703,379
1361,577,930,121
1362,833,299,358
1363,990,444,431
1364,732,126,354
1365,746,108,851
1366,550,831,623
1367,848,419,985
1368,865,69,997
1369,736,908,289
1370,763,995,900
1371,506,857,45
1372,126,959,310
1373,56,766,375
1374,418,485,220
1375,941,71,61
1376,643,693,79
1377,21,314,905
1378,971,340,32
1379,550,746,758
1380,566,306,533
1381,518,147,509
1382,88,8,442
1383,602,551,489
1384,696,656,424
1385,109,575,192
1386,573,190,442
1387,959,750,874
1388,988,952,839
1389,487,994,757
1390,997,79,620
1391,124,307,741
1392,955,118,848
1393,684,154,445
1394,539,706,693
1395,366,869,614
1396,937,933,659
1397,651,48,533
1398,92,54,599
1399,208,89,984
1400,983,583,898
1401,440,896,661
1402,791,476,793
1403,62,711,217
1404,735,903,638
1405,6,897,454
1406,495,383,348
1407,920,637,183
1408,827,692,574
1409,160,734,60
1410,536,311,200
1411,520,745,843
1412,453,425,22
1413,438,395,731
1414,845,550,385
1415,95,840,443
1416,916,763,946
1417,548,552,492
1418,491,573,127
1419,557,808,323
1420,780,538,889
1421,97,27,91
1422,570,878,433
1423,572,940,567
1424,427,426,611
1425,263,850,648
1426,9,267,121
1427,272,442,685
1428,184,686,833
1429,286,282,352
1430,309,494,337
1431,884,396,664
1432,964,269,428
1433,234,203,603
1434,778,854,331
1435,680,74,732
1436,430,665,133
1437,660,607,337
1438,336,583,257
1439,248,894,187
1440,272,656,8
1441,963,987,762
1442,45,351,142
1443,673,356,227
